Date_Time,% On-TimeGateArrivals,AverageBlockDelay,AverageTaxiInDelay,AverageAirborneDelay,AverageAirportDepartureDelay,AverageGateDepartureDelay,AverageGateArrivalDelay
2019-03-05 03:00:00,100.0,3.0,5.1,0.0,0.0,0.0,0.0
2019-03-06 03:00:00,100.0,0.0,4.1,0.0,41.0,38.0,5.0
2019-03-07 03:00:00,100.0,2.0,6.1,0.0,0.0,0.0,0.0
2019-03-08 03:00:00,0.0,6.0,1.1,1.0,0.0,0.0,26.0
2019-03-09 03:00:00,100.0,0.5,8.1,0.0,0.0,0.0,4.0
2019-03-10 03:00:00,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2019-03-11 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-12 03:00:00,100.0,0.0,4.1,0.0,0.0,0.0,0.0
2019-03-13 03:00:00,66.67,9.0,5.1,2.67,19.5,15.5,8.0
2019-03-14 03:00:00,100.0,14.0,6.1,2.0,0.0,0.0,0.0
2019-03-15 03:00:00,100.0,0.0,1.1,0.0,0.5,0.0,6.0
2019-03-16 03:00:00,0.0,0.0,0.0,0.0,116.0,111.0,0.0
2019-03-17 03:00:00,0.0,0.0,0.0,0.0,19.5,7.5,0.0
2019-03-18 03:00:00,0.0,0.0,0.0,0.0,13.33,8.0,0.0
2019-03-19 03:00:00,100.0,8.0,4.1,0.0,0.0,0.0,7.0
2019-03-20 03:00:00,50.0,1.5,3.1,0.0,12.0,0.0,20.5
2019-03-21 03:00:00,100.0,2.0,5.1,0.0,0.0,0.0,0.0
2019-03-22 03:00:00,100.0,4.0,6.1,0.0,1.67,0.0,0.0
2019-03-23 03:00:00,0.0,0.0,0.0,0.0,36.33,28.33,0.0
2019-03-24 03:00:00,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2019-03-25 03:00:00,0.0,0.0,0.0,0.0,27.0,20.0,0.0
2019-03-26 03:00:00,100.0,15.67,8.1,8.67,0.0,0.0,2.67
2019-03-27 03:00:00,66.67,5.0,5.1,2.0,14.0,0.0,10.67
2019-03-28 03:00:00,100.0,4.33,6.1,3.0,28.0,22.0,1.33
2019-03-29 03:00:00,50.0,14.5,8.1,4.5,0.0,0.0,11.5
2019-03-30 03:00:00,0.0,0.0,0.0,0.0,20.0,16.0,0.0
2019-03-31 03:00:00,100.0,0.5,5.1,1.5,0.0,0.0,1.0
2019-04-01 03:00:00,100.0,0.0,5.1,0.0,0.0,0.0,0.0
2019-04-02 03:00:00,100.0,1.0,4.1,0.0,3.0,0.0,0.0
2019-04-03 03:00:00,0.0,8.0,4.1,1.5,0.0,0.0,18.5
2019-04-04 03:00:00,100.0,3.5,5.1,0.0,14.0,0.0,1.0
2019-04-05 03:00:00,0.0,10.0,8.1,0.0,21.33,18.67,25.0
2019-04-06 03:00:00,50.0,3.0,4.6,0.0,17.5,8.5,55.5
2019-04-07 03:00:00,0.0,0.0,0.0,0.0,70.0,62.0,0.0
2019-04-08 03:00:00,100.0,5.0,5.1,1.5,0.0,0.0,1.0
2019-04-09 03:00:00,100.0,1.0,5.1,0.0,0.0,0.0,4.5
2019-04-10 03:00:00,33.33,6.0,5.77,2.33,0.0,0.0,30.0
2019-04-11 03:00:00,100.0,9.0,8.1,0.0,0.0,0.0,12.0
2019-04-12 03:00:00,100.0,6.0,6.1,0.0,0.0,0.0,8.0
2019-04-13 03:00:00,100.0,0.0,4.1,0.0,9.0,9.0,0.0
2019-04-14 03:00:00,0.0,23.0,9.1,6.0,0.0,0.0,19.0
2019-04-15 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-16 03:00:00,100.0,1.0,5.1,0.0,0.0,0.0,1.5
2019-04-17 03:00:00,100.0,3.5,7.1,0.0,6.0,0.0,3.5
2019-04-18 03:00:00,100.0,3.0,5.1,0.0,0.0,0.0,2.0
2019-04-19 03:00:00,100.0,3.0,8.1,0.0,0.0,0.0,4.0
2019-04-20 03:00:00,100.0,5.0,7.1,0.0,0.0,0.0,3.0
2019-04-21 03:00:00,100.0,0.0,4.1,0.0,0.0,0.0,0.0
2019-04-22 03:00:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2019-04-23 03:00:00,100.0,0.0,6.1,0.0,0.0,0.0,0.0
